k_phys_Mpc,nbar_ms,A_ring,phi_ring,damping
0.014705050971829276,5.246235349448285e-08,0.0003255524941989725,-0.3606915531083569,0.0
0.015101827283880055,5.672820797975685e-08,0.00032689656740035014,-0.7587256176678165,0.0
0.015509309539222442,6.041603699210762e-08,0.00032550922368888396,-1.1600516620219348,0.0
0.01592778660898679,6.306382122495538e-08,0.0003206605828944389,-1.5648598518888384,0.0
0.01635755515871521,6.418036498746429e-08,0.00031169765025529524,-1.9747099268144523,0.0
0.016798919858672774,6.337628588946309e-08,0.0002982667323436705,-2.392610155602008,0.0
0.017252193599833536,6.052734693103921e-08,0.00028053306194157873,-2.8230489664605996,0.0
0.01771769771569424,5.59009215399679e-08,0.00025933991160646206,3.01121279023612,0.0
0.018195762210073144,5.0187282437684094e-08,0.0002362827399357705,2.5367317912231098,0.0
0.018686725991055374,4.4413615764820025e-08,0.00021365643462754175,2.0298437960984175,0.0
0.01919093711125062,3.970006209621147e-08,0.00019411127076155734,1.487312800468242,0.0
0.019708753014533627,3.693261284119116e-08,0.00017987186970097054,0.9147192191005914,0.0
0.020240540789442207,3.6437924106910785e-08,0.00017162315201181598,0.3286530978587539,0.0
0.02078667742941259,3.777967832620567e-08,0.0001678608929529549,-0.25041799276756654,0.0
0.02134755010003656,3.979854027087738e-08,0.000165494323120959,-0.8098388434246643,0.0
0.021923556413529662,4.092944434230277e-08,0.00016122475841168422,-1.3492488690771212,0.0
0.0225151047106054,3.974788928026692e-08,0.00015265190377381386,-1.877426892594125,0.0
0.02312261434995484,3.557013905214266e-08,0.00013877726916738836,-2.4088596294380396,0.0
0.0237465160055372,2.8855973551033917e-08,0.00012016109070867336,-2.9639617970232015,0.0
0.024387251971892013,2.1191499174446384e-08,9.902960858017053e-05,2.710028554550691,0.0
0.02504527647768919,1.4752738859909414e-08,7.949674371239351e-05,2.0035654431219596,0.0
0.025721056007739565,1.1397356772693702e-08,6.726081290057367e-05,1.174365730503914,0.0
0.026415069633693878,1.1753512913351116e-08,6.57864727064517e-05,0.3045917485429996,0.0
0.027127809353664923,1.477330750118953e-08,7.108292540957236e-05,-0.4746524699804042,0.0
0.02785978044101334,1.809108897944541e-08,7.58640097071614e-05,-1.1471573368512844,0.0
0.02861150180254456,1.9152605196595625e-08,7.53377125054436e-05,-1.7585759725132726,0.0
0.02938350634637074,1.6616085654451244e-08,6.777925236448982e-05,-2.3538333013862367,0.0
0.03017634135969835,1.123587046946794e-08,5.3879976808198716e-05,-2.9811606957730397,0.0
0.0309905688968095,5.5740319279375084e-09,3.671830850129691e-05,2.5463094771105683,0.0
0.031826766177511755,2.5111355463327244e-09,2.3867402048409325e-05,1.4127012630400326,0.0
0.03268552599633912,3.3532088895313716e-09,2.6734650490324957e-05,0.06465074027446581,0.0
0.0335674571427943,6.8129585024876724e-09,3.697433032539652e-05,-0.839112099240427,0.0
0.03447318483292983,9.772861574579118e-09,4.300840222863103e-05,-1.5200046363816475,0.0
0.03540335115257458,9.536500322290318e-09,4.1302887016106906e-05,-2.1357278888838813,0.0
0.03635861551251918,5.986523269913865e-09,3.1846362408121585e-05,-2.753670345435863,0.0
0.03733965511598372,1.8056337539876755e-09,1.7037691006446693e-05,2.795378994878366,0.0
0.038347165438698705,2.649705969306969e-10,6.364356958148116e-06,0.7781310688536958,0.0
0.03938186072193953,2.2632059062275802e-09,1.8155804191375464e-05,-0.7475502718549455,0.0
0.04044447447886449,5.372031381834289e-09,2.7331104624161422e-05,-1.436363503575636,0.0
0.04153576001451466,6.138387198323645e-09,2.85752263405931e-05,-2.0367271721182565,0.0
0.042656490959844716,3.6551580070230717e-09,2.158804405604841e-05,-2.607020079391315,0.0
0.043807461820163277,6.178803799656931e-10,8.698169677624356e-06,-3.105815306323903,0.0
0.04498948853837104,3.222091413380436e-10,6.161283238668064e-06,-0.8757968109050951,0.0
0.04620340907339691,2.7265368834922392e-09,1.759695452077046e-05,-1.326526673061649,0.0
0.04745008399424116,4.443151711357234e-09,2.207527392351284e-05,-1.8759711046117005,0.0
0.0487303970900476,3.1247003087452804e-09,1.8208469168169808e-05,-2.395239353554928,0.0
0.05004525599663686,6.835269554435537e-10,8.383495581105095e-06,-2.6445134470825447,0.0
0.051395592839944854,5.808872907967099e-10,7.614258240982563e-06,-1.3826246077611946,0.0
0.052782364896822635,2.65762985282438e-09,1.6058657085282958e-05,-1.5849865425143088,0.0
