N,a,z2
-17.795,1.8695181875516218e-08,6.990196507172602e-18
-17.788,1.882650725121496e-08,7.088747505600988e-18
-17.781,1.8958755129535884e-08,7.188687921234063e-18
-17.774,1.9091931990651428e-08,7.290037342713187e-18
-17.767,1.9226044360254564e-08,7.392815634849526e-18
-17.759999999999998,1.936109880987817e-08,7.497042942517318e-18
-17.753,1.9497101957217235e-08,7.602739694602482e-18
-17.746,1.963406046645332e-08,7.709926608006903e-18
-17.739,1.9771981048580645e-08,7.818624691708643e-18
-17.732,1.9910870461735474e-08,7.928855250880204e-18
-17.725,2.0050735511526694e-08,8.040639891063953e-18
-17.718,2.0191583051369877e-08,8.154000522407345e-18
-17.711,2.0333419982822584e-08,8.268959363956976e-18
-17.704,2.0476253255922762e-08,8.38553894801375e-18
-17.697,2.0620089869529514e-08,8.503762124549474e-18
-17.69,2.0764936871665546e-08,8.623652065685106e-18
-17.683,2.0910801359863086e-08,8.745232270233039e-18
-17.676000000000002,2.1057690481511092e-08,8.868526568302457e-18
-17.669,2.1205611434206072e-08,8.993559125970626e-18
-17.662,2.1354571466104222e-08,9.120354450019053e-18
-17.655,2.1504577876276833e-08,9.2489373927371e-18
-17.648,2.1655638015068176e-08,9.37933315679332e-18
-17.641,2.18077592844552e-08,9.511567300174837e-18
-17.634,2.1960949138410455e-08,9.645665741197018e-18
-17.627,2.21152150832676e-08,9.781654763583734e-18
-17.62,2.227056467808864e-08,9.91956102161859e-18
-17.613,2.242700553503496e-08,1.0059411545369775e-17
-17.606,2.2584545319739695e-08,1.0201233745987523e-17
-17.599,2.2743191751683976e-08,1.034505542107732e-17
-17.592,2.290295260457463e-08,1.0490904760147838e-17
-17.585,2.3063835706725335e-08,1.0638810350136371e-17
-17.578,2.3225848941440447e-08,1.0788801181012208e-17
-17.570999999999998,2.3389000247400803e-08,1.0940906651458298e-17
-17.564,2.3553297619052955e-08,1.1095156574633711e-17
-17.557,2.3718749107001157e-08,1.1251581184017364e-17
-17.55,2.388536281840125e-08,1.1410211139333299e-17
-17.543,2.40531469173586e-08,1.1571077532560751e-17
-17.536,2.4222109625327455e-08,1.1734211894027619e-17
-17.529,2.4392259221514486e-08,1.1899646198591171e-17
-17.522,2.4563604043283864e-08,1.2067412871904628e-17
-17.515,2.4736152486566052e-08,1.2237544796772958e-17
-17.508,2.490991300626947e-08,1.241007531959826e-17
-17.501,2.5084894116694173e-08,1.2585038256915158e-17
-17.494,2.526110439194976e-08,1.276246790201967e-17
-17.487000000000002,2.54385524663748e-08,1.2942399031690067e-17
-17.48,2.5617247034960616e-08,1.3124866913003969e-17
-17.473,2.579719685377674e-08,1.3309907310250173e-17
-17.466,2.5978410740400206e-08,1.3497556491938815e-17
-17.459,2.61608975743479e-08,1.3687851237910439e-17
-17.451999999999998,2.6344666297511103e-08,1.3880828846544346e-17
-17.445,2.652972591459393e-08,1.4076527142069536e-17
-17.438,2.671608549355483e-08,1.4274984481978615e-17
-17.431,2.6903754166050273e-08,1.4476239764545347e-17
-17.424,2.7092741127882947e-08,1.46803324364496e-17
-17.417,2.7283055639451606e-08,1.488730250050824e-17
-17.41,2.7474707026205587e-08,1.5097190523516612e-17
-17.403,2.7667704679101097e-08,1.5310037644199055e-17
-17.396,2.786205805506164e-08,1.5525885581272504e-17
-17.389,2.8057776677441718e-08,1.574477664162385e-17
-17.382,2.8254870136492794e-08,1.5966753728601445e-17
-17.375,2.8453348089834e-08,1.6191860350425205e-17
-17.368,2.8653220262924654e-08,1.642014062871352e-17
-17.361,2.8854496449541135e-08,1.665163930713164e-17
-17.354,2.9057186512257055e-08,1.6886401760161866e-17
-17.347,2.9261300382925844e-08,1.7124474001996322e-17
-17.34,2.9466848063168206e-08,1.7365902695556798e-17
-17.333,2.96738396248615e-08,1.761073516164001e-17
-17.326,2.988228521063356e-08,1.7859019388192984e-17
-17.319,3.009219503436e-08,1.8110804039719213e-17
-17.312,3.030357938166397e-08,1.8366138466816196e-17
-17.305,3.051644861042101e-08,1.8625072715849326e-17
-17.298000000000002,3.073081315126569e-08,1.8887657538760083e-17
-17.291,3.094668350810362e-08,1.915394440301465e-17
-17.284,3.116407025862537e-08,1.942398550169077e-17
-17.277,3.138298405482511e-08,1.9697833763708147e-17
-17.27,3.1603435623522874e-08,1.9975542864203094e-17
-17.262999999999998,3.182543576688952e-08,2.0257167235048215e-17
-17.256,3.2048995362976375e-08,2.0542762075521625e-17
-17.249,3.2274125366248614e-08,2.0832383363126644e-17
-17.242,3.250083680812121e-08,2.1126087864562527e-17
-17.235,3.2729140797500406e-08,2.142393314685211e-17
-17.228,3.2959048521327126e-08,2.172597758862392e-17
-17.221,3.3190571245126076e-08,2.2032280391555797e-17
-17.214,3.342372031355693e-08,2.2342901591977567e-17
-17.207,3.365850715097057e-08,2.265790207263874e-17
-17.2,3.389494326196924e-08,2.2977343574642282e-17
-17.193,3.4133040231969454e-08,2.3301288709544908e-17
-17.186,3.4372809727770624e-08,2.3629800971630456e-17
-17.179,3.4614263498125884e-08,2.39629447503538e-17
-17.172,3.485741337431818e-08,2.430078534296192e-17
-17.165,3.5102271270740346e-08,2.4643388967292866e-17
-17.158,3.5348849185478036e-08,2.4990822774753425e-17
-17.151,3.559715920089867e-08,2.53431548634825e-17
-17.144,3.5847213484242564e-08,2.5700454291697236e-17
-17.137,3.6099024288219496e-08,2.6062791091229224e-17
-17.13,3.6352603951609505e-08,2.64302362812515e-17
-17.123,3.660796489986657e-08,2.6802861882197254e-17
-17.116,3.686511964572852e-08,2.718074092987758e-17
-17.109,3.712408078982908e-08,2.756394748979513e-17
-17.102,3.7384861021316404e-08,2.795255667166285e-17
-17.095,3.764747311847387e-08,2.8346644644124256e-17
-17.088,3.7911929949346655e-08,2.874628864968336e-17
-17.081,3.8178244472372644e-08,2.915156701984505e-17
-17.073999999999998,3.844642973701663e-08,2.956255919046713e-17
-17.067,3.871649888441009e-08,2.997934571733056e-17
-17.06,3.898846514799556e-08,3.040200829192929e-17
-17.053,3.92623418541741e-08,3.083062975748063e-17
-17.046,3.953814242295939e-08,3.126529412516442e-17
-17.039,3.98158803686342e-08,3.17060865905878e-17
-17.032,4.0095569300413717e-08,3.2153093550485577e-17
-17.025,4.037722292311143e-08,3.2606402619652705e-17
-17.018,4.066085503781105e-08,3.306610264811768e-17
-17.011,4.094647954254324e-08,3.3532283738558246e-17
-17.004,4.123411043296559e-08,3.400503726396003e-17
-16.997,4.152376180304958e-08,3.448445588552798e-17
-16.99,4.1815447845770135e-08,3.497063357084645e-17
-16.983,4.210918285380158e-08,3.5463665612297947e-17
-16.976,4.240498122021837e-08,3.5963648645741455e-17
-16.969,4.270285743919934e-08,3.647068066945165e-17
-16.962,4.300282610673913e-08,3.698486106332889e-17
-16.955,4.3304901921362306e-08,3.7506290608376175e-17
-16.948,4.360909968484409e-08,3.803507150645338e-17
-16.941,4.3915434302936045e-08,3.857130740030984e-17
-16.934,4.422392078609545e-08,3.911510339389691e-17
-16.927,4.453457425022202e-08,3.9666566072970764e-17
-16.92,4.484740991739733e-08,4.022580352598137e-17
-16.913,4.516244311663198e-08,4.079292536526038e-17
-16.906,4.547968928461562e-08,4.1368042748503624e-17
-16.899,4.5799163966473785e-08,4.1951268400559014e-17
-16.892,4.6120882816530135e-08,4.2542716635522094e-17
-16.884999999999998,4.644486159907253e-08,4.314250337914004e-17
-16.878,4.677111618912597e-08,4.375074619153444e-17
-16.871,4.709966257323098e-08,4.4367564290244305e-17
-16.864,4.7430516850225786e-08,4.499307857359104e-17
-16.857,4.776369523203649e-08,4.562741164437731e-17
-16.85,4.809921404447013e-08,4.6270687833915057e-17
-16.843,4.843708972801599e-08,4.6923033226397434e-17
-16.836,4.877733883864999e-08,4.758457568360946e-17
-16.829,4.911997804864646e-08,4.82554448699902e-17
-16.822,4.946502414739559e-08,4.893577227804858e-17
-16.815,4.981249404222491e-08,4.9625691254133845e-17
-16.808,5.016240475922915e-08,5.03253370245747e-17
-16.801,5.051477344410326e-08,5.10348467221816e-17
-16.794,5.0869617362983144e-08,5.1754359413126326e-17
-16.787,5.122695390329216e-08,5.24840161242004e-17
-16.78,5.158680057459194e-08,5.322395987045439e-17
-16.773,5.1949175009441734e-08,5.3974335683232117e-17
-16.766,5.2314094964261174e-08,5.473529063859473e-17
-16.759,5.2681578320200867e-08,5.550697388614916e-17
-16.752,5.305164308401916e-08,5.628953667828317e-17
-16.745,5.342430738896315e-08,5.708313239980846e-17
-16.738,5.379958949565872e-08,5.788791659802785e-17
-16.731,5.417750779300381e-08,5.870404701321977e-17
-16.724,5.4558080799070974e-08,5.953168360955914e-17
-16.717,5.494132716201348e-08,6.0370988606468e-17
-16.71,5.532726566097959e-08,6.122212651041223e-17
-16.703,5.5715915207033365e-08,6.208526414714664e-17
-16.695999999999998,5.610729484408013e-08,6.296057069441082e-17
-16.689,5.6501423749800206e-08,6.384821771508973e-17
-16.682,5.689832123658924e-08,6.474837919084204e-17
-16.675,5.729800675250309e-08,6.566123155619778e-17
-16.668,5.77004998822124e-08,6.658695373314386e-17
-16.661,5.810582034796067e-08,6.75257271661896e-17
-16.654,5.851398801053222e-08,6.847773585793416e-17
-16.647,5.8925022870223975e-08,6.944316640512837e-17
-16.64,5.93389450678261e-08,7.042220803524967e-17
-16.633,5.975577488560951e-08,7.14150526435928e-17
-16.626,6.017553274831826e-08,7.242189483087847e-17
-16.619,6.059823922417203e-08,7.344293194139961e-17
-16.612000000000002,6.102391502587229e-08,7.447836410169764e-17
-16.605,6.145258101161891e-08,7.552839425979172e-17
-16.598,6.188425818613077e-08,7.659322822495388e-17
-16.591,6.231896770167556e-08,7.767307470804963e-17
-16.584,6.275673085910695e-08,7.876814536244772e-17
-16.576999999999998,6.319756910890704e-08,7.987865482550164e-17
-16.57,6.364150405223805e-08,8.100482076062065e-17
-16.563,6.408855744200147e-08,8.214686389993443e-17
-16.556,6.453875118390238e-08,8.330500808755323e-17
-16.549,6.499210733752469e-08,8.447948032344662e-17
-16.542,6.544864811741016e-08,8.567051080793153e-17
-16.535,6.590839589414882e-08,8.687833298679708e-17
-16.528,6.63713731954735e-08,8.810318359705635e-17
-16.521,6.683760270736433e-08,8.93453027133495e-17
