N,a,z2
-18.46,9.614437134238822e-09,1.848748028164608e-18
-18.453,9.681974298476812e-09,1.8748125263273112e-18
-18.446,9.749985881392597e-09,1.9012444937470996e-18
-18.439,9.818475215567418e-09,1.9280491111742333e-18
-18.432,9.88744565699232e-09,1.955231632399526e-18
-18.425,9.956900585232694e-09,1.9827973852841434e-18
-18.418,1.0026843403593993e-08,2.0107517728039275e-18
-18.411,1.009727753928824e-08,2.0391002741082958e-18
-18.404,1.016820644360225e-08,2.0678484455942865e-18
-18.397,1.0239633592066488e-08,2.097001921995529e-18
-18.39,1.0311562484625483e-08,2.1265664174867133e-18
-18.383,1.0383996645809437e-08,2.1565477268036327e-18
-18.376,1.0456939624906666e-08,2.1869517263788633e-18
-18.369,1.0530394996137817e-08,2.2177843754936875e-18
-18.362,1.0604366358830737e-08,2.2490517174460215e-18
-18.355,1.0678857337596964e-08,2.2807598807349702e-18
-18.348,1.0753871582509435e-08,2.31291508026208e-18
-18.341,1.0829412769281084e-08,2.345523618549364e-18
-18.334,1.0905484599445256e-08,2.378591886974753e-18
-18.326999999999998,1.0982090800536812e-08,2.4121263670247057e-18
-18.32,1.105923512627489e-08,2.4461336315646474e-18
-18.313,1.1136921356746966e-08,2.4806203461273334e-18
-18.306,1.12151532985938e-08,2.515593270219188e-18
-18.299,1.1293934785196275e-08,2.551059258645329e-18
-18.292,1.1373269676862915e-08,2.5870252628529895e-18
-18.285,1.1453161861019367e-08,2.6234983322941723e-18
-18.278,1.15336152523986e-08,2.6604856158072326e-18
-18.271,1.1614633793232848e-08,2.697994363018129e-18
-18.264,1.1696221453446903e-08,2.7360319257614316e-18
-18.257,1.1778382230852359e-08,2.774605759521172e-18
-18.25,1.186112015134383e-08,2.8137234248922936e-18
-18.243,1.1944439269095934e-08,2.85339258906242e-18
-18.236,1.2028343666762067e-08,2.8936210273147028e-18
-18.229,1.211283745567459e-08,2.934416624551866e-18
-18.222,1.2197924776045978e-08,2.9757873768415266e-18
-18.215,1.2283609797172042e-08,3.01774139298362e-18
-18.208,1.2369896717635917e-08,3.0602868960995966e-18
-18.201,1.2456789765513927e-08,3.1034322252442502e-18
-18.194,1.254429319858289e-08,3.1471858370402592e-18
-18.187,1.2632411304528447e-08,3.1915563073355625e-18
-18.18,1.2721148401155511e-08,3.2365523328844285e-18
-18.173000000000002,1.281050883659948e-08,3.2821827330518674e-18
-18.166,1.2900496989539662e-08,3.328456451542438e-18
-18.159,1.299111726941351e-08,3.3753825581530786e-18
-18.152,1.3082374116632821e-08,3.4229702505508877e-18
-18.145,1.3174272002801466e-08,3.471228856075971e-18
-18.137999999999998,1.3266815430934204e-08,3.520167833569478e-18
-18.131,1.3360008935677482e-08,3.5697967752276436e-18
-18.124,1.3453857083531777e-08,3.620125408481963e-18
-18.117,1.3548364473075013e-08,3.6711635979056235e-18
-18.11,1.3643535735188285e-08,3.722921347147195e-18
-18.103,1.3739375533282382e-08,3.775408800891171e-18
